[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | INFO: Tag[ route_check ] --START--
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | INFO: Run CheckRoute Behavior [ RunTime:0.000736s ]
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000799s ]
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | INFO: Tag[ app_begin ] --START--
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000359s ]
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000398s ]
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.002170s ]
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | SQL: SHOW COLUMNS FROM `czxy_stu` [ RunTime:0.003429s ]
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | SQL: SELECT `id`,`stuid` FROM `czxy_stu` WHERE ( `id` = 2 ) LIMIT 1   [ RunTime:0.000386s ]
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | SQL: SHOW COLUMNS FROM `czxy_qualitydevestore` [ RunTime:0.002849s ]
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | SQL: SELECT `id`,`qualityname`,`fullstore` FROM `czxy_qualitydevestore`  [ RunTime:0.000339s ]
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | INFO: Tag[ view_template ] --START--
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | INFO: Run LocationTemplate Behavior [ RunTime:0.000271s ]
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000324s ]
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | INFO: Tag[ view_parse ] --START--
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-24T09:07:44+08:00 ] /JSJD/admin.php/Stu/addQuality/id/2 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
