[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | INFO: Tag[ route_check ] --START--
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | INFO: Run CheckRoute Behavior [ RunTime:0.000988s ]
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001155s ]
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | INFO: Tag[ app_begin ] --START--
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000684s ]
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000759s ]
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.002921s ]
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | SQL: SHOW COLUMNS FROM `czxy_stuinfo` [ RunTime:0.003621s ]
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | SQL: SELECT * FROM `czxy_stuinfo` WHERE ( `id` = 0 ) LIMIT 1   [ RunTime:0.000550s ]
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | SQL: SHOW COLUMNS FROM `czxy_departinfo` [ RunTime:0.002263s ]
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | SQL: SELECT `id`,`departname` FROM `czxy_departinfo`  [ RunTime:0.000292s ]
[ 2017-05-24T16:44:21+08:00 ] /JSJD/admin.php/Stu/edit/id/add | SQL: SHOW COLUMNS FROM `czxy_profession` [ RunTime:0.002117s ]
