[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | INFO: Tag[ route_check ] --START--
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | INFO: Run CheckRoute Behavior [ RunTime:0.000503s ]
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000609s ]
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | INFO: Tag[ app_begin ] --START--
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000803s ]
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000931s ]
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.001998s ]
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | SQL: SHOW COLUMNS FROM `czxy_partyrole` [ RunTime:0.001673s ]
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | SQL: SELECT COUNT(*) AS tp_count FROM `czxy_partyrole` LIMIT 1   [ RunTime:0.000324s ]
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | SQL: SELECT * FROM `czxy_partyrole`  [ RunTime:0.000179s ]
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | INFO: Tag[ view_template ] --START--
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000244s ]
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000284s ]
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | INFO: Tag[ view_parse ] --START--
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T09:14:53+08:00 ] /JSJD/admin.php/Partyrole/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
