[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | INFO: Tag[ route_check ] --START--
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | INFO: Run CheckRoute Behavior [ RunTime:0.000902s ]
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | INFO: Tag[ route_check ] --END-- [ RunTime:0.000974s ]
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | INFO: Tag[ app_begin ] --START--
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000371s ]
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000415s ]
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.002005s ]
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | INFO: Tag[ view_template ] --START--
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | INFO: Run LocationTemplate Behavior [ RunTime:0.000212s ]
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | INFO: Tag[ view_template ] --END-- [ RunTime:0.000260s ]
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | INFO: Tag[ view_parse ] --START--
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-07T15:29:10+08:00 ] /JSJD/admin.php/System/skinmodel | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
