[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.054004s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.054087s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000687s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000760s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.025638s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.025703s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013506s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013568s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.000848s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.000781s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000647s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000755s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003175s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000764s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000819s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001418s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001532s ]
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:08:56+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001163s ]
