[ 2017-03-14T11:45:29+08:00 ] /JSJD/admin.php/News/unshownews/id/1/isshow/0 | ERR: (ThinkException) 非法操作unshownews
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ route_check ] --START--
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | INFO: Run CheckRoute Behavior [ RunTime:0.001289s ]
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001416s ]
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000714s ]
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000750s ]
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.007709s ]
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | SQL: SHOW COLUMNS FROM `czxy_news` [ RunTime:0.007844s ]
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | SQL: SELECT COUNT(*) AS tp_count FROM `czxy_news` LIMIT 1   [ RunTime:0.000378s ]
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | SQL: SELECT * FROM `czxy_news` ORDER BY publictime desc  [ RunTime:0.000318s ]
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_template ] --START--
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000979s ]
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001025s ]
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_parse ] --START--
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-14T11:45:35+08:00 ] /JSJD/admin.php/News/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
