[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ route_check ] --START--
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run CheckRoute Behavior [ RunTime:0.000881s ]
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000961s ]
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ app_begin ] --START--
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000755s ]
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000806s ]
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.020642s ]
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8] Use of undefined constant IMGS - assumed 'IMGS' SystemAction.class.php 第 105 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ view_template ] --START--
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run LocationTemplate Behavior [ RunTime:0.000916s ]
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ view_template ] --END-- [ RunTime:0.000968s ]
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ view_parse ] --START--
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-17T18:00:54+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
