[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | INFO: Tag[ route_check ] --START--
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | INFO: Run CheckRoute Behavior [ RunTime:0.000509s ]
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.000569s ]
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | INFO: Tag[ app_begin ] --START--
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000318s ]
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000356s ]
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.002838s ]
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | INFO: Tag[ view_template ] --START--
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000273s ]
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000320s ]
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | INFO: Tag[ view_parse ] --START--
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T16:00:53+08:00 ] /JSJD/admin.php/Partyfee/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
