[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | INFO: Tag[ route_check ] --START--
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | INFO: Run CheckRoute Behavior [ RunTime:0.000500s ]
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000560s ]
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | INFO: Tag[ app_begin ] --START--
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000315s ]
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000355s ]
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.001866s ]
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | SQL: SHOW COLUMNS FROM `czxy_quastu` [ RunTime:0.002111s ]
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | SQL: SHOW COLUMNS FROM `czxy_stu` [ RunTime:0.002273s ]
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | SQL: SHOW COLUMNS FROM `czxy_stuinfo` [ RunTime:0.003583s ]
[ 2017-06-02T15:00:11+08:00 ] /JSJD/admin.php/Stu/showQuality/id/1 | SQL: SHOW COLUMNS FROM `czxy_qualitydevestore` [ RunTime:0.002192s ]
