[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | INFO: Tag[ route_check ] --START--
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | INFO: Run CheckRoute Behavior [ RunTime:0.001053s ]
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | INFO: Tag[ route_check ] --END-- [ RunTime:0.001175s ]
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | INFO: Tag[ app_begin ] --START--
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000643s ]
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000721s ]
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.003409s ]
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000415s ]
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | SQL: SHOW COLUMNS FROM `czxy_news` [ RunTime:0.003474s ]
[ 2017-05-20T10:56:32+08:00 ] /JSJD/index.php/News/detail/0/nid/js/jquery.bxslider.min.js | SQL: UPDATE `czxy_news` SET `islike`=islike+1 WHERE id=0 [ RunTime:0.000350s ]
