[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | INFO: Tag[ route_check ] --START--
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | INFO: Run CheckRoute Behavior [ RunTime:0.001541s ]
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003594s ]
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | INFO: Tag[ app_begin ] --START--
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002079s ]
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002188s ]
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.005502s ]
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.003675s ]
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | SQL: SHOW COLUMNS FROM `czxy_partyactivity` [ RunTime:0.003560s ]
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | SQL: SELECT `id`,`title`,`smallimg`,`starttime`,`endtime` FROM `czxy_partyactivity` WHERE ( `isshow` = 1 ) ORDER BY endtime DESC  [ RunTime:0.000818s ]
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | INFO: Tag[ view_template ] --START--
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001966s ]
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002069s ]
[ 2017-05-29T07:29:04+08:00 ] /JSJD/index.php/Party/index | INFO: Tag[ view_parse ] --START--
