[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ route_check ] --START--
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | INFO: Run CheckRoute Behavior [ RunTime:0.002295s ]
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002380s ]
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ app_begin ] --START--
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001733s ]
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001797s ]
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8] Undefined index: sid functions.php 第 441 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.004555s ]
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000721s ]
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | SQL: SHOW COLUMNS FROM `czxy_stuinfo` [ RunTime:0.004990s ]
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | SQL: SELECT `face` FROM `czxy_stuinfo` WHERE ( `id` = null ) LIMIT 1   [ RunTime:0.000329s ]
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ view_template ] --START--
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001607s ]
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001703s ]
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | INFO: Tag[ view_parse ] --START--
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [2] file_get_contents(./Index/Tpl/Public/top.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [2] file_get_contents(./Index/Tpl/Public/luenhuan.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [2] file_get_contents(./Index/Tpl/Public/footer.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-01T08:30:00+08:00 ] /JSJD/index.php/Feedback/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
