[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | INFO: Tag[ route_check ] --START--
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | INFO: Run CheckRoute Behavior [ RunTime:0.000730s ]
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | INFO: Tag[ route_check ] --END-- [ RunTime:0.000842s ]
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | INFO: Tag[ app_begin ] --START--
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000378s ]
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000425s ]
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | NOTIC: [8] Undefined index: sid functions.php 第 441 行.
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.002244s ]
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000279s ]
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | SQL: SHOW COLUMNS FROM `czxy_stuinfo` [ RunTime:0.002152s ]
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | SQL: SELECT `face` FROM `czxy_stuinfo` WHERE ( `id` = null ) LIMIT 1   [ RunTime:0.000236s ]
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | NOTIC: [8] Undefined index: sid functions.php 第 441 行.
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | SQL: SELECT * FROM `czxy_stuinfo` LIMIT 1   [ RunTime:0.000235s ]
[ 2017-06-01T21:09:48+08:00 ] /JSJD/index.php/Usercenter/personinfo | INFO: Tag[ view_template ] --START--
