[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Tag[ route_check ] --START--
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Run CheckRoute Behavior [ RunTime:0.000631s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000734s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Tag[ app_begin ] --START--
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000424s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000516s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.002091s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000286s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | SQL: SHOW COLUMNS FROM `czxy_stuinfo` [ RunTime:0.001926s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | SQL: SELECT `face` FROM `czxy_stuinfo` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000258s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | SQL: SHOW COLUMNS FROM `czxy_departinfo` [ RunTime:0.002069s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | SQL: SELECT `id`,`departname` FROM `czxy_departinfo`  [ RunTime:0.000444s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | SQL: SELECT `id`,`departname` FROM `czxy_departinfo`  [ RunTime:0.000398s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | SQL: SHOW COLUMNS FROM `czxy_subjectrace` [ RunTime:0.003830s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | SQL: SELECT * FROM `czxy_subjectrace` ORDER BY id DESC LIMIT 9   [ RunTime:0.000288s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Tag[ view_template ] --START--
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Run LocationTemplate Behavior [ RunTime:0.000285s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000334s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Tag[ view_parse ] --START--
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [2] file_get_contents(./Index/Tpl/Public/top.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [2] file_get_contents(./Index/Tpl/Public/luenhuan.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [2] file_get_contents(./Index/Tpl/Public/footer.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
