[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | INFO: Tag[ route_check ] --START--
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | INFO: Run CheckRoute Behavior [ RunTime:0.000594s ]
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000679s ]
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | INFO: Tag[ app_begin ] --START--
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000396s ]
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000451s ]
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.002205s ]
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000356s ]
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | SQL: SHOW COLUMNS FROM `czxy_subjectrace` [ RunTime:0.003463s ]
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | SQL: SELECT * FROM `czxy_subjectrace` WHERE ( `id` = '4' ) LIMIT 1   [ RunTime:0.000339s ]
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | SQL: SHOW COLUMNS FROM `czxy_departinfo` [ RunTime:0.003324s ]
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | SQL: SELECT GROUP_CONCAT(departname) departnames FROM `czxy_departinfo` WHERE ( `id` IN ('5') ) LIMIT 1   [ RunTime:0.000512s ]
[ 2017-05-30T10:31:30+08:00 ] /JSJD/mobile.php/Subjectrace/detail/sid/4 | SQL: SHOW COLUMNS FROM `czxy_racetoimg` [ RunTime:0.002007s ]
