[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | INFO: Tag[ route_check ] --START--
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | INFO: Run CheckRoute Behavior [ RunTime:0.002174s ]
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | INFO: Tag[ route_check ] --END-- [ RunTime:0.002783s ]
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | INFO: Tag[ app_begin ] --START--
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002166s ]
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002240s ]
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.010512s ]
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.001626s ]
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | SQL: SHOW COLUMNS FROM `czxy_quastu` [ RunTime:0.004548s ]
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | SQL: SELECT * FROM czxy_quastu a LEFT JOIN czxy_qualitydevestore b ON b.id=a.qid  WHERE ( a.sid = '1' )  [ RunTime:0.003101s ]
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | INFO: Tag[ view_template ] --START--
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | INFO: Run LocationTemplate Behavior [ RunTime:0.001796s ]
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | INFO: Tag[ view_template ] --END-- [ RunTime:0.001897s ]
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | INFO: Tag[ view_parse ] --START--
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-08T09:00:16+08:00 ] /JSJD/mobile.php/Usercenter/qualityinfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
